createdAt,userName,action,entityType,entityId,description
2026-09-14T06:33:37.298Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:29:42.974Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T06:25:44.466Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:25:03.501Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-14T06:24:36.467Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T06:23:46.462Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:23:04.586Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-14T06:20:52.025Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T06:20:38.569Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T06:20:08.336Z,Tarmono,auth.loginFailed,Auth,cmtr1g3e4000qjvs0qkxak1vt,"Percobaan login gagal (password salah) untuk ""Tarmono"""
2026-09-14T06:20:05.298Z,Dirga,auth.loginFailed,Auth,cmtr1g3fu0015jvs0u5ztl62b,"Percobaan login gagal (password salah) untuk ""Dirga"""
2026-09-14T06:19:57.140Z,Dirga,auth.loginFailed,Auth,cmtr1g3fu0015jvs0u5ztl62b,"Percobaan login gagal (password salah) untuk ""Dirga"""
2026-09-14T06:19:54.245Z,Dirga,auth.loginFailed,Auth,cmtr1g3fu0015jvs0u5ztl62b,"Percobaan login gagal (password salah) untuk ""Dirga"""
2026-09-14T06:12:55.966Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-14T05:12:10.188Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T03:50:34.985Z,Kia,auth.login,Auth,cmtr1g3dr000njvs0n1qlg4tf,"""Kia"" login"
2026-09-14T02:48:35.905Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T02:38:41.946Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T02:38:31.979Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T02:38:20.448Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T02:38:12.500Z,Super Admin,auth.loginFailed,Auth,cmtqv9to20000jv4ssyxfce20,"Percobaan login gagal (password salah) untuk ""Super Admin"""
2026-09-14T02:37:56.369Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T02:37:32.961Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-14T02:32:24.648Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-13T16:08:02.201Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-13T16:07:29.944Z,Rafif,auth.login,Auth,cmtr1g3d0000djvs018il0b8i,"""Rafif"" login"
2026-09-13T16:06:43.722Z,Wisnuazi,auth.login,Auth,cmtr1g3eu000yjvs0h7y7a2tl,"""Wisnuazi"" login"
2026-09-13T16:03:28.840Z,Tarmono,auth.login,Auth,cmtr1g3e4000qjvs0qkxak1vt,"""Tarmono"" login"
2026-09-13T16:03:27.572Z,Dirga,auth.login,Auth,cmtr1g3fu0015jvs0u5ztl62b,"""Dirga"" login"
2026-09-13T15:59:37.018Z,Tarmono,auth.login,Auth,cmtr1g3e4000qjvs0qkxak1vt,"""Tarmono"" login"
2026-09-13T15:59:36.159Z,Dirga,auth.login,Auth,cmtr1g3fu0015jvs0u5ztl62b,"""Dirga"" login"
2026-09-13T15:56:34.207Z,Tarmono,auth.login,Auth,cmtr1g3e4000qjvs0qkxak1vt,"""Tarmono"" login"
2026-09-13T15:56:01.650Z,Dirga,auth.login,Auth,cmtr1g3fu0015jvs0u5ztl62b,"""Dirga"" login"
2026-09-13T15:55:48.202Z,Angga,auth.login,Auth,cmtqvqnhc0001jvf0xqwkav66,"""Angga"" login"
2026-09-13T15:55:33.941Z,Dirga,auth.login,Auth,cmtr1g3fu0015jvs0u5ztl62b,"""Dirga"" login"
